Away Team,Home Team,Date,Time,Court 
Team 1,Team 2,2026-04-16,08:30:00 AM,Court 1
Team 6,Team 5,2026-04-16,08:30:00 AM,Court 2
Team 4,Team 3,2026-04-16,09:15:00 AM,Court 1
Team 7,Team 8,2026-04-16,09:15:00 AM,Court 2
Team 1,Team 3,2026-04-23,08:30:00 AM,Court 2
Team 7,Team 5,2026-04-23,08:30:00 AM,Court 1
Team 4,Team 2,2026-04-23,09:15:00 AM,Court 2
Team 8,Team 6,2026-04-23,09:15:00 AM,Court 1
Team 4,Team 1,2026-04-30,08:30:00 AM,Court 1
Team 5,Team 8,2026-04-30,08:30:00 AM,Court 2
Team 2,Team 3,2026-04-30,09:15:00 AM,Court 1
Team 6,Team 7,2026-04-30,09:15:00 AM,Court 2
Team 3,Team 7,2026-05-07,08:30:00 AM,Court 1
Team 2,Team 6,2026-05-07,08:30:00 AM,Court 2
Team 5,Team 1,2026-05-07,09:15:00 AM,Court 1
Team 8,Team 4,2026-05-07,09:15:00 AM,Court 2
Team 5,Team 2,2026-05-14,08:30:00 AM,Court 1
Team 3,Team 8,2026-05-14,08:30:00 AM,Court 2
Team 1,Team 6,2026-05-14,09:15:00 AM,Court 2
Team 7,Team 4,2026-05-14,09:15:00 AM,Court 1
Team 1,Team 7,2026-05-21,08:30:00 AM,Court 2
Team 2,Team 8,2026-05-21,08:30:00 AM,Court 1
Team 3,Team 5,2026-05-21,09:15:00 AM,Court 2
Team 6,Team 4,2026-05-21,09:15:00 AM,Court 1
Team 5,Team 4,2026-05-28,08:30:00 AM,Court 2
Team 1,Team 8,2026-05-28,08:30:00 AM,Court 1
Team 7,Team 2,2026-05-28,09:15:00 AM,Court 1
Team 3,Team 6,2026-05-28,09:15:00 AM,Court 2
Team 4,Team 3,2026-06-04,08:30:00 AM,Court 1
Team 8,Team 7,2026-06-04,08:30:00 AM,Court 2
Team 2,Team 1,2026-06-04,09:15:00 AM,Court 2
Team 5,Team 6,2026-06-04,09:15:00 AM,Court 1
Team 4,Team 2,2026-06-11,08:30:00 AM,Court 2
Team 8,Team 6,2026-06-11,08:30:00 AM,Court 1
Team 3,Team 1,2026-06-11,09:15:00 AM,Court 1
Team 7,Team 5,2026-06-11,09:15:00 AM,Court 2
Team 4,Team 1,2026-06-18,08:30:00 AM,Court 2
Team 6,Team 7,2026-06-18,08:30:00 AM,Court 1
Team 3,Team 2,2026-06-18,09:15:00 AM,Court 2
Team 8,Team 5,2026-06-18,09:15:00 AM,Court 1
Team 2,Team 6,2026-06-25,08:30:00 AM,Court 2
Team 7,Team 3,2026-06-25,08:30:00 AM,Court 1
Team 1,Team 5,2026-06-25,09:15:00 AM,Court 2
Team 8,Team 4,2026-06-25,09:15:00 AM,Court 1
Team 4,Team 7,2026-07-02,08:30:00 AM,Court 2
Team 6,Team 1,2026-07-02,08:30:00 AM,Court 1
Team 5,Team 2,2026-07-02,09:15:00 AM,Court 1
Team 8,Team 3,2026-07-02,09:15:00 AM,Court 2
Team 5,Team 3,2026-07-09,08:30:00 AM,Court 1
Team 8,Team 2,2026-07-09,08:30:00 AM,Court 2
Team 1,Team 7,2026-07-09,09:15:00 AM,Court 1
Team 4,Team 6,2026-07-09,09:15:00 AM,Court 2
Team 6,Team 3,2026-07-16,08:30:00 AM,Court 2
Team 5,Team 4,2026-07-16,08:30:00 AM,Court 1
Team 1,Team 8,2026-07-16,09:15:00 AM,Court 1
Team 2,Team 7,2026-07-16,09:15:00 AM,Court 2
Team 2,Team 1,2026-07-23,08:30:00 AM,Court 1
Team 5,Team 6,2026-07-23,08:30:00 AM,Court 2
Team 4,Team 3,2026-07-23,09:15:00 AM,Court 1
Team 8,Team 7,2026-07-23,09:15:00 AM,Court 2
Team 3,Team 1,2026-07-30,08:30:00 AM,Court 2
Team 2,Team 4,2026-07-30,08:30:00 AM,Court 1
Team 5,Team 7,2026-07-30,09:15:00 AM,Court 1
Team 8,Team 6,2026-07-30,09:15:00 AM,Court 2
Team 8,Team 5,2026-08-06,08:30:00 AM,Court 1
Team 6,Team 7,2026-08-06,08:30:00 AM,Court 2
Team 1,Team 4,2026-08-06,09:15:00 AM,Court 2
Team 3,Team 2,2026-08-06,09:15:00 AM,Court 1
Team 7,Team 3,2026-08-13,08:30:00 AM,Court 1
Team 4,Team 8,2026-08-13,08:30:00 AM,Court 2
Team 6,Team 2,2026-08-13,09:15:00 AM,Court 1
Team 1,Team 5,2026-08-13,09:15:00 AM,Court 2
Team 1,Team 6,2026-08-20,08:30:00 AM,Court 1
Team 5,Team 2,2026-08-20,08:30:00 AM,Court 2
Team 3,Team 8,2026-08-20,09:15:00 AM,Court 1
Team 7,Team 4,2026-08-20,09:15:00 AM,Court 2
Team 6,Team 4,2026-08-27,08:30:00 AM,Court 1
Team 2,Team 8,2026-08-27,08:30:00 AM,Court 2
Team 1,Team 7,2026-08-27,09:15:00 AM,Court 1
Team 3,Team 5,2026-08-27,09:15:00 AM,Court 2
Team 8,Team 1,2026-09-03,08:30:00 AM,Court 1
Team 6,Team 3,2026-09-03,08:30:00 AM,Court 2
Team 7,Team 2,2026-09-03,09:15:00 AM,Court 1
Team 4,Team 5,2026-09-03,09:15:00 AM,Court 2
